np_without_modification,surface_modification,size_tem,zeta_potential,incubation_protein_source,incubation_plasma_concentration,incubation_np_concentration,centrifugation_speed,centrifugation_time,centrifugation_temperature,np_type,np_shape,dispersion_medium,dispersion_medium_ph,size_dls,pdi,incubation_culture,incubation_time,incubation_temperature,centrifugation_repetitions,modification_type,P01871,P01024,P02647,P02649,P02768,P04004,P01834,P10909,P02652,P00734,P01009,P01042,P01857,P01859,P01023,P01619,P04196,P02656,P04114,P02787,P02766,P06396,P06727,P0C0L5,P02671,P08603,P02765,Q14624,P0DOY2,P01008,P68871,P01764,P04003,P0C0L4,P01876,P02749,P02675,P01860,P01011,P00747,P02774,P00751,P19823,P08697,P19827,P69905,P02760,P02748,P02679,P02790,B9A064,P07996,P05155,P01766,P12259,P00738,P02751,P02654,P04406,P00739,P02655,P00736,P07225,P05154,P09871,P60709,P03952,P02747,P05546,P02746,P27169,P01019,P35542,P04217,Q14520,P02743,P02763,P49908,O43866,P18428,P55056,P04264,P00748,P01591,P01861,Q92954,P02776,P0DJI8,P01031,P05156,P13671,Q03591,P06312,P00740,P01615,P00742,P04070,O14791,P05090,P02745,P00488,Q13103,P01877,P01700,P10643,Q9UK55,P03951,Q06033,Q96IY4,P13645,P04433,P07358,P27918,P05452,P20851,P07357,P07360,P01599,O95445,Q9BXR6,P02775,P02741,P35579,P15169,Q13790,P35858,P49747,P36955,P19652,P07737,P22891,P35908,P80748,P08514,P01593,Q04756,P06733,P23528,P63104,P18065,P08519,Q86UX7,P02753,Q5TB80,P22352,P00746,P35443,P62937,P10720,P48740,P25311,P43652,P35527,Q9Y490,P05106,P17936,P18206,P02788,P06702,P01701,Q6Q788,Q96PD5,Q9UGM5,O00391,P11142,P14618,P23142,P68366,P12814,P61224,Q13201,P67936,P0DOY3,P08709,P01034,P81605,P02533,P11226
PS,PEG,119.0,8.0,HP,80.0,822.2696,20000,60,25,other,sphere,water,7.0,119.0,2.5,water,1.0,37,1,Neutral,0.627216539,0.328085847,0.925258691,0.1428164,28.29049204,10.7819851,2.739201143,3.296315729,0.0,0.020899961,0.242744339,0.057692601,3.013077715,0.768291276,0.131495588,0.07249674,0.007184362,1.048916794,0.0,0.105370637,0.294341118,0.028084323,0.287156756,0.0,8.850915788,0.327650431,0.0,0.13867995,0.0,0.052032195,0.0,0.01153852,0.096226904,0.0,0.362265991,0.735852795,16.08012523,0.26255576,0.0,0.182656951,0.227722492,0.0,0.0,0.0,0.0,0.0,0.006966654,0.0,16.05269403,0.089477958,0.0,0.0,0.0,0.050072823,0.0,0.054209274,0.575837468,0.0,0.0,0.00522499,0.0,0.223150626,0.0,0.0,0.216837096,0.0,0.0,0.375328467,0.0,0.353775382,0.0,0.0,0.0,0.0,0.222279794,0.09448524,0.0,0.0,0.006095822,0.009796857,0.0,0.0,0.0,0.0,0.201162125,0.0,0.0,0.058345725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036574932,0.074020695,0.0,0.004354159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003265619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012844768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS,PEG,117.0,14.0,HP,80.0,836.3325,20000,60,25,other,sphere,water,7.0,117.0,2.5,water,1.0,37,1,Neutral,1.545294627,0.89996404,17.11826849,1.319817675,2.68822952,5.667538122,2.470527636,33.97315658,0.397014374,0.0,0.179798431,0.0,1.293576823,1.17889458,0.0,0.303227625,0.0,5.317174152,0.111766592,0.0,0.242484912,0.0058313,1.909750906,0.067545897,1.873305278,0.093786749,0.0,0.064144305,0.0,0.019437668,0.0,0.0,0.110308767,0.084553857,0.376604822,0.212842467,3.120717639,0.311974576,0.0,0.0,0.037417511,0.0,0.028184619,0.0,0.0,0.0,0.011176659,0.103991525,2.965702234,0.0,0.0,0.0,0.018951727,0.155987288,0.0,0.0,3.086215778,0.0,0.0,0.050051996,0.276014889,0.878582605,0.0,0.0,0.676916797,0.103991525,0.0,2.42047564,0.0,2.314054406,0.006803184,0.0,0.022353318,0.0,0.0,0.0,0.0,0.0,0.069489664,0.004373475,0.109822826,0.114682243,0.0,0.01700796,0.027698677,0.0,0.0,0.060256772,0.0,0.0,0.0,0.0,0.0,0.0,0.026726794,0.0,0.0,0.016036076,0.032558094,0.740575161,0.0,0.0,0.016036076,0.0,0.0,0.0,0.0,0.0,0.0,0.014092309,0.0,0.0,0.197292333,0.0,0.0,0.0,0.003401592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040819103,0.0,0.0,0.0,0.003887534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009718834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008261009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS,NH2,106.0,46.0,HP,80.0,923.114,20000,60,25,other,sphere,water,7.0,106.0,2.5,water,1.0,37,1,Anionic,2.35222229,0.99917407,12.28151461,0.682903245,0.428409312,3.92753302,2.637604668,52.29951049,0.053047548,0.0,0.073863675,0.0,1.269112226,1.116012973,0.014101247,0.43243824,0.004700416,4.533886639,0.040960765,0.004028928,0.3176138,0.0,1.038791859,0.096022777,1.249639075,0.07520665,0.0,0.020144639,0.0,0.034917373,0.0,0.0,0.118181879,0.055062012,0.364617957,0.089307897,2.000362603,0.349173734,0.0,0.0,0.0,0.0,0.068491771,0.0,0.0,0.0,0.0,0.05909094,2.064825447,0.0,0.0,0.0,0.087964921,0.215547632,0.0,0.0,2.761829939,0.0,0.0,0.059762428,0.235692271,0.756095432,0.0,0.0,0.637242065,0.076549626,0.0,0.78295495,0.0,1.065651377,0.0,0.0,0.0,0.0,0.0,0.004028928,0.0,0.0,0.119524855,0.0,0.0,0.122210807,0.0,0.092665337,0.0,0.0,0.0,0.038946301,0.0,0.0,0.0,0.0,0.0,0.0,0.166529012,0.0,0.0,0.0,0.05237606,0.201446385,0.0,0.0,0.015444223,0.0,0.0,0.0,0.0,0.0,0.0,0.008057855,0.0,0.0,0.157799668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00335744,0.0,0.0,0.0,0.0,0.0,0.023502078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036931837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS,COOH,40.0,-43.5,HP,10.0,40.0,250,3,25,other,sphere,PBS,7.4,73.7,0.06,buffer,1.0,25,1,Anionic,3.2446269,0.3799306,1.3819722,3.8981574,4.8598362,3.4837138,1.8593206,0.2297801,0.0,0.0,0.1358354,11.7692691,0.8439808,0.265254,0.0,0.0,32.8407316,0.0,0.5479104,0.3295248,0.0,0.0814874,0.0,0.0,0.52807,0.1962618,0.0,3.0956702,0.0,0.0,0.0,0.0,0.2273007,0.2667553,0.2697579,0.0,0.7718863,0.0,0.0,0.679939,0.0,0.0,0.0,0.0,0.0,0.0,1.0743974,0.0,0.86271,0.0,0.0,0.0,0.679114,0.7199598,0.0,0.0,0.0410947,0.0,0.0,0.0,0.0,0.0,0.0,3.6394848,0.0,0.2433764,3.2913118,0.0,0.0,0.5939523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1433308,0.0,0.1189217,0.0,4.3066237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1953017,0.0,0.0,2.3849152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2799809,0.0,0.0,0.0,0.3143667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9536684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2093097,0.0
PS,COOH,40.0,-43.5,HP,25.0,40.0,250,3,25,other,sphere,PBS,7.4,73.7,0.06,buffer,1.0,25,1,Anionic,6.07,0.27,0.06,1.39,0.89,1.47,0.24,0.05,0.0,0.0,0.0,9.01,0.0,0.0,0.0,0.09,43.4,0.0,3.82,0.0,0.0,0.0,0.0,0.0,0.63,0.24,0.0,1.06,0.0,0.0,0.0,0.0,0.09,0.44,0.44,0.0,0.33,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.76,0.0,0.0,0.0,0.06,0.15,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.42,3.38,0.09,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,5.96,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.05,0.06,0.0,0.0,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
PS,COOH,40.0,-43.5,HP,55.0,40.0,250,3,25,other,sphere,PBS,7.4,73.7,0.06,buffer,1.0,25,1,Anionic,8.4423039,0.1489602,0.1471183,2.8564419,1.0960737,1.4467027,2.7834084,0.0,0.0,0.0,0.0,6.7533681,0.0,0.0,0.0,0.4427929,35.9973273,0.0,1.1685881,0.0,0.0,0.0,0.0,0.0,0.3001983,0.6651419,0.0,0.3317689,0.0,0.0,0.0,0.604266,0.4554189,0.269509,0.0,0.0,0.0348291,0.0,0.0,0.601628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7993991,0.0,0.0,0.0,0.0,0.4940457,0.0,0.0,0.4439008,0.0,0.0,0.0,0.0,0.0,0.0,0.7824506,0.0,0.4436291,1.2073623,0.2835582,0.0,1.8832076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0581118,0.0,0.0,0.0,7.5407207,0.0,0.2427572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3483916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2923229,0.0,0.0,6.6342644,0.081992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5632194,0.0,0.1812574,0.0,0.0,0.0,0.0,0.0,0.0,0.2161169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2351914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7128987,0.0
PS,COOH,40.0,-43.5,HP,75.0,40.0,250,3,25,other,sphere,PBS,7.4,73.7,0.06,buffer,1.0,25,1,Anionic,6.57,0.44,0.24,1.63,1.2,1.24,0.51,0.0,0.0,0.0,0.0,7.67,0.0,0.0,0.0,0.36,33.85,0.0,9.51,0.0,0.0,0.0,0.0,0.0,0.45,0.19,0.0,0.27,0.0,0.0,0.0,0.12,0.3,0.82,0.0,0.0,0.17,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.24,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.32,1.36,0.3,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,7.86,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,6.16,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0
PS,COOH,100.0,-53.2,HP,10.0,5.0,250,3,25,other,sphere,PBS,7.4,116.3,0.05,buffer,1.0,25,1,Anionic,0.12,0.0,0.25,0.0,1.13,38.75,0.0,0.13,0.0,0.0,0.0,10.61,0.0,0.11,0.0,0.0,17.57,0.0,0.05,0.0,0.0,0.69,0.24,0.0,0.82,0.0,0.0,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,3.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.62,9.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zeolite,none,13.0,-35.0,HP,10.0,100.0,10000,20,25,other,sphere,water,7.5,13.0,0.126944444,water,1.0,25,5,Neutral,1.66,2.43,4.93,1.62,4.21,1.08,6.03,0.0,4.18,0.0,0.0,0.0,3.88,1.63,0.0,7.95,0.39,0.0,0.43,0.46,0.0,0.55,1.8,0.73,4.3,0.59,0.0,0.11,4.15,0.67,0.0,0.01,0.87,0.73,1.55,0.31,2.92,1.98,0.0,0.39,0.0,0.96,0.22,0.0,0.35,0.0,0.0,0.55,4.08,0.0,1.01,0.0,0.0,0.88,0.0,0.0,0.27,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zeolite,none,13.0,-35.0,HP,10.0,100.0,10000,20,25,other,sphere,water,7.5,13.0,0.126944444,water,1.0,25,5,Neutral,1.59,2.31,5.96,2.17,3.21,0.96,4.51,0.0,4.69,0.0,0.0,0.36,3.99,1.82,0.08,6.68,0.44,0.0,0.28,0.0,0.82,0.92,0.58,0.61,5.1,0.66,0.0,0.0,4.64,0.0,0.0,0.04,0.78,0.61,1.74,0.34,3.04,2.22,0.0,0.72,0.0,1.23,0.25,0.0,0.0,0.0,0.0,0.21,3.81,0.0,1.14,0.0,0.0,0.99,0.0,0.0,0.15,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.14,0.2,0.0,0.0,1.04,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.2,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
