np_without_modification,surface_modification,size_tem,zeta_potential,incubation_protein_source,incubation_plasma_concentration,incubation_np_concentration,centrifugation_speed,centrifugation_time,centrifugation_temperature,np_type,np_shape,dispersion_medium,dispersion_medium_ph,size_dls,pdi,incubation_culture,incubation_time,incubation_temperature,centrifugation_repetitions,modification_type,P01871,P01024,P02647,P02649,P02768,P04004,P01834,P10909,P02652,P00734,P01009,P01042,P01857,P01859,P01023,P01619,P04196,P02656,P04114,P02787,P02766,P06396,P06727,P0C0L5,P02671,P08603,P02765,Q14624,P0DOY2,P01008,P68871,P01764,P04003,P0C0L4,P01876,P02749,P02675,P01860,P01011,P00747,P02774,P00751,P19823,P08697,P19827,P69905,P02760,P02748,P02679,P02790,B9A064,P07996,P05155,P01766,P12259,P00738,P02751,P02654,P04406,P00739,P02655,P00736,P07225,P05154,P09871,P60709,P03952,P02747,P05546,P02746,P27169,P01019,P35542,P04217,Q14520,P02743,P02763,P49908,O43866,P18428,P55056,P04264,P00748,P01591,P01861,Q92954,P02776,P0DJI8,P01031,P05156,P13671,Q03591,P06312,P00740,P01615,P00742,P04070,O14791,P05090,P02745,P00488,Q13103,P01877,P01700,P10643,Q9UK55,P03951,Q06033,Q96IY4,P13645,P04433,P07358,P27918,P05452,P20851,P07357,P07360,P01599,O95445,Q9BXR6,P02775,P02741,P35579,P15169,Q13790,P35858,P49747,P36955,P19652,P07737,P22891,P35908,P80748,P08514,P01593,Q04756,P06733,P23528,P63104,P18065,P08519,Q86UX7,P02753,Q5TB80,P22352,P00746,P35443,P62937,P10720,P48740,P25311,P43652,P35527,Q9Y490,P05106,P17936,P18206,P02788,P06702,P01701,Q6Q788,Q96PD5,Q9UGM5,O00391,P11142,P14618,P23142,P68366,P12814,P61224,Q13201,P67936,P0DOY3,P08709,P01034,P81605,P02533,P11226
PS,PEG,119,8,HP,80,822.2696,20000,60,25,other,sphere,water,7,119,2.5,water,1,37,1,Neutral,0.627216539,0.328085847,0.925258691,0.1428164,28.29049204,10.7819851,2.739201143,3.296315729,0,0.020899961,0.242744339,0.057692601,3.013077715,0.768291276,0.131495588,0.07249674,0.007184362,1.048916794,0,0.105370637,0.294341118,0.028084323,0.287156756,0,8.850915788,0.327650431,0,0.13867995,0,0.052032195,0,0.01153852,0.096226904,0,0.362265991,0.735852795,16.08012523,0.26255576,0,0.182656951,0.227722492,0,0,0,0,0,0.006966654,0,16.05269403,0.089477958,0,0,0,0.050072823,0,0.054209274,0.575837468,0,0,0.00522499,0,0.223150626,0,0,0.216837096,0,0,0.375328467,0,0.353775382,0,0,0,0,0.222279794,0.09448524,0,0,0.006095822,0.009796857,0,0,0,0,0.201162125,0,0,0.058345725,0,0,0,0,0,0,0,0,0,0,0,0.036574932,0.074020695,0,0.004354159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003265619,0,0,0,0,0,0,0,0,0.012844768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,PEG,117,14,HP,80,836.3325,20000,60,25,other,sphere,water,7,117,2.5,water,1,37,1,Neutral,1.545294627,0.89996404,17.11826849,1.319817675,2.68822952,5.667538122,2.470527636,33.97315658,0.397014374,0,0.179798431,0,1.293576823,1.17889458,0,0.303227625,0,5.317174152,0.111766592,0,0.242484912,0.0058313,1.909750906,0.067545897,1.873305278,0.093786749,0,0.064144305,0,0.019437668,0,0,0.110308767,0.084553857,0.376604822,0.212842467,3.120717639,0.311974576,0,0,0.037417511,0,0.028184619,0,0,0,0.011176659,0.103991525,2.965702234,0,0,0,0.018951727,0.155987288,0,0,3.086215778,0,0,0.050051996,0.276014889,0.878582605,0,0,0.676916797,0.103991525,0,2.42047564,0,2.314054406,0.006803184,0,0.022353318,0,0,0,0,0,0.069489664,0.004373475,0.109822826,0.114682243,0,0.01700796,0.027698677,0,0,0.060256772,0,0,0,0,0,0,0.026726794,0,0,0.016036076,0.032558094,0.740575161,0,0,0.016036076,0,0,0,0,0,0,0.014092309,0,0,0.197292333,0,0,0,0.003401592,0,0,0,0,0,0,0,0,0.040819103,0,0,0,0.003887534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009718834,0,0,0,0,0,0,0,0.008261009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,NH2,106,46,HP,80,923.114,20000,60,25,other,sphere,water,7,106,2.5,water,1,37,1,Anionic,2.35222229,0.99917407,12.28151461,0.682903245,0.428409312,3.92753302,2.637604668,52.29951049,0.053047548,0,0.073863675,0,1.269112226,1.116012973,0.014101247,0.43243824,0.004700416,4.533886639,0.040960765,0.004028928,0.3176138,0,1.038791859,0.096022777,1.249639075,0.07520665,0,0.020144639,0,0.034917373,0,0,0.118181879,0.055062012,0.364617957,0.089307897,2.000362603,0.349173734,0,0,0,0,0.068491771,0,0,0,0,0.05909094,2.064825447,0,0,0,0.087964921,0.215547632,0,0,2.761829939,0,0,0.059762428,0.235692271,0.756095432,0,0,0.637242065,0.076549626,0,0.78295495,0,1.065651377,0,0,0,0,0,0.004028928,0,0,0.119524855,0,0,0.122210807,0,0.092665337,0,0,0,0.038946301,0,0,0,0,0,0,0.166529012,0,0,0,0.05237606,0.201446385,0,0,0.015444223,0,0,0,0,0,0,0.008057855,0,0,0.157799668,0,0,0,0,0,0,0,0,0,0,0,0,0.00335744,0,0,0,0,0,0.023502078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036931837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,PEEP,122,-10,HP,80,802.0499,20000,60,25,other,sphere,water,7,122,2.5,water,1,37,1,Neutral,1.312711522,0.372115239,0.95366012,0.472951733,0.088385024,1.502137162,1.137982699,76.77188499,0.264338582,0,0.110838494,0,0.527248307,0.119819882,0,0.09389633,0,1.712791538,0.068993391,0,0.02163698,0,1.794236398,0.050214124,0.106551923,0.059399635,0,0.020004001,0,0,0,0,0.132271352,0.063686207,0.158194904,0.073688207,0.164726823,0.224534703,0,0,0,0,0,0,0,0,0,0.042865716,0.193303967,0,0,0,0.028577144,0.041640981,0,0,1.945491139,0,0,0.025515307,0.416001568,0.536433817,0,0,0.446211691,0.020820491,0,0.967132202,0,1.220039926,0.044090451,0,0.174320578,0,0,1.753411907,0,0,0.041640981,0,0.153295965,0.070830493,0,0.019595756,0.002041225,0,0,0.009797878,0,0,0.031434858,0,0,0,0.037762655,0,0,0.087976779,1.448861201,0.339863891,0,0,0,0,0.003470082,0,0,0,0,0.002449469,0,0,0.078383024,0,0,0,0.004898939,0,0.009185511,0,0,0,0,0,0,0.103285963,0,0,0,0,0,0.005715429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010206123,0,0,0,0,0,0,0,0.018779266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,PEEP,117,-9,HP,80,836.3255,20000,60,25,other,sphere,water,7,117,2.5,water,1,37,1,Neutral,1.393706453,0.349449972,0.339324109,0.337816002,0.079498791,0.862637292,1.083682711,77.12201449,0.376595901,0,0.092425424,0,0.550243667,0.122372123,0,0.091779092,0,1.265301902,0.035763684,0,0,0,1.490225311,0.05666174,0.099319628,0.079714235,0,0.005816985,0,0,0,0,0.072389143,0.06053973,0.183342741,0.041580669,0.128404552,0.236988267,0,0,0,0,0,0,0,0,0,0.039641674,0.166107231,0,0.083161337,0,0.027361373,0.062694169,0,0,2.391211613,0,0,0.018743617,0.412144141,0.582991137,0,0,0.455232916,0.06053973,0,1.696835991,0,1.762761818,0.042442444,0,0.168908001,0,0,0.004955209,0,0,0.045027771,0,0.165460899,0.014865628,0,0.014003852,0,0,0,0.004955209,0,0,0,0,0,0,0.037487235,0,0,0.280938818,1.59234571,0.641376428,0,0,0.016589179,0,0,0,0,0,0,0.003662546,0,0.003231658,0.091132761,0,0,0,0.006463316,0,0.016373735,0,0,0,0,0,0,0.108368271,0,0,0,0,0,0,0,0,0.004524321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013142077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADM70,none,114,29.8,HS,50,500,14000,15,3,liposome,sphere,plasma,7.4,114,0.21,water,1,37,1,Anionic,0.87,2.37,4.08,3.07,2.64,4.98,4.1,1.25,2.7,9.33,0,0,1.42,1.03,0,0,0,0,0,0,0,0,3.2,4.68,1.39,0,0,0,1.1,0,0,0,7.3,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,1.12,1.37,0,0,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADM105,none,149,31.7,HS,50,500,14000,15,3,liposome,sphere,plasma,7.4,149,0.41,water,1,37,1,Anionic,1.92,1.63,3.63,2.7,5.7,5.37,2.8,2.02,1.92,13.18,0,0,1.37,0,0,0,0,1.68,0,0,0,0,3.57,3.61,1.4,0,0,0,0.93,0,0.86,0,7.02,3.48,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADM105,pDNA,191,-16.3,HS,50,500,14000,15,3,liposome,sphere,plasma,7.4,191,0.64,water,1,37,1,Anionic,0.68,1.57,4.85,1.97,4.89,5.34,4.66,1.54,3.5,9.58,0,0,1.19,0.79,0,0,0,0.82,0,0,0,0,4.11,3.44,1.65,0,0,0,2.11,0,0,0,4.92,3.16,0,0,0.84,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0.65,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADM70,pDNA,153,-17.4,HS,50,500,14000,15,3,liposome,sphere,plasma,7.4,153,0.34,water,1,37,1,Anionic,0,3.84,2.82,2.14,3.37,4.87,2.94,0.92,1.42,12.65,0,0,1.23,0,0,0,0,2.16,0,0,0,0,2.68,4.98,0.66,0.67,0,0,1.61,0,0,0,6.54,4.84,0,0,2.49,0,0,0,0,0,0,0,0,0,0.84,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,COOH,40,-43.5,HP,10,40,250,3,25,other,sphere,PBS,7.4,73.7,0.06,buffer,1,25,1,Anionic,3.2446269,0.3799306,1.3819722,3.8981574,4.8598362,3.4837138,1.8593206,0.2297801,0,0,0.1358354,11.7692691,0.8439808,0.265254,0,0,32.8407316,0,0.5479104,0.3295248,0,0.0814874,0,0,0.52807,0.1962618,0,3.0956702,0,0,0,0,0.2273007,0.2667553,0.2697579,0,0.7718863,0,0,0.679939,0,0,0,0,0,0,1.0743974,0,0.86271,0,0,0,0.679114,0.7199598,0,0,0.0410947,0,0,0,0,0,0,3.6394848,0,0.2433764,3.2913118,0,0,0.5939523,0,0,0,0,0,0,0,0.1433308,0,0.1189217,0,4.3066237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1953017,0,0,2.3849152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2799809,0,0,0,0.3143667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9536684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2093097,0
